,PC1,PC2
Kate & Leopold (2001),0.8960610004918885,2.2796077730740056
The Sorcerer's Apprentice (2010),0.9374176545881688,0.2250930533243153
Fantastic Four (2005),3.9274287080314316,0.9483642580242441
Fantastic Four (2015),1.8451192734589235,-0.2149461929488014
Frida (2002),0.5167935359526616,1.0792014121954419
From Hell (2001),0.879150627030553,1.0014755680602083
The Lord of the Rings: The Fellowship of the Ring (2001),14.177088844732927,-1.999781071284155
Resident Evil (2002),1.3231558023841468,0.9785508741220424
The Shipping News (2001),-0.45707695185674213,1.4213571657169342
Trance (2013),-2.264700416103125,-0.9631287660990531
Men in Black II (2002),5.036742175716746,0.8791356659313518
Corpse Bride (2005),1.6368280690642145,1.357995756501107
Star Wars: Episode II - Attack of the Clones (2002),8.447695310027676,0.03426512253886899
Star Wars: Episode III - Revenge of the Sith (2005),10.682322185093364,-0.7687363406702391
Heartbreakers (2001),0.5893806266397095,2.706126530192246
Shrek (2001),7.045408037351919,1.4404564003490725
Split (2017),6.349731980570545,-6.965337701582094
Driven (2001),-0.006592420520998765,2.4410678185487016
Planet of the Apes (2001),4.097299092411192,1.192568454996101
Treasure Planet (2002),1.0326146841531207,0.7030608296788655
Intolerable Cruelty (2003),0.774481194733957,0.33982713131600406
Training Day (2001),2.831523848638809,2.659963910847841
Town & Country (2001),-1.4307774415747099,2.8840260016736523
Spider-Man (2002),10.542727866944412,0.07489698082801442
Lara Croft: Tomb Raider (2001),3.0153271516190876,1.4361633982188744
Clockstoppers (2002),-0.0416965123282182,4.692270524061312
Behind Enemy Lines (2001),1.141659963465222,2.546723526200135
Cold Mountain (2003),2.5291402340482083,1.0607815322910372
What's the Worst That Could Happen? (2001),-0.04161296210849406,4.0353072515397015
Nowhere in Africa (2001),-0.5276791239391793,-0.45088683494479315
Ghost World (2001),-0.5469759562392509,2.742883398041427
Jurassic Park III (2001),4.291490876152005,1.4653830673498511
Dark Water (2002),-1.8100705283447587,-1.082381652799944
The Sum of All Fears (2002),2.494280059088792,1.962192016504352
Along Came a Spider (2001),1.382894839753082,2.9480711162209574
Vidocq (2001),-1.7737230381046003,-1.255351104768022
Sinbad: Legend of the Seven Seas (2003),0.19636074663849304,0.7518097202358878
Bones (2001),-1.361121400787947,4.2942009685636995
Monkeybone (2001),-1.5226193743686807,3.333188864596687
Spirit: Stallion of the Cimarron (2002),1.3934198135097369,2.376658103073247
Mulholland Drive (2001),0.7224669202600266,0.15576970593033976
Hellboy (2004),1.8952168303573729,1.8098681863675765
Hellboy (2019),0.6928517242044975,-0.27641345389387817
The Lord of the Rings: The Return of the King (2003),16.384801320942778,-3.1136469405876395
The Lord of the Rings: The Two Towers (2002),14.082740628953967,-2.089699472498909
Thunderbirds (2004),-1.4021701655540695,0.47519477084375455
Antwone Fisher (2002),0.05131834565587883,3.731938816677972
Bad Boys II (2003),3.7409386036707644,0.8025210367228204
Final Fantasy: The Spirits Within (2001),0.5866815879069663,0.9565692904013
The Proposal (2009),2.695657304228511,1.3501826134201975
15 Minutes (2001),0.1422301913687887,1.1905629410318084
Hardball (2001),0.49343476805338676,4.19113963628864
Minority Report (2002),5.222066384860111,-0.3363274439631307
Osmosis Jones (2001),-0.49817872494730975,4.6353884530079625
Terminator 3: Rise of the Machines (2003),4.9043483291887755,-0.03369874153767152
Phone Booth (2003),1.2905316264921571,1.6181118837543862
A Knight's Tale (2001),1.7821722375783107,1.1203681109089596
O (2001),-0.49625507744027736,3.874811640864562
Sugar & Spice (2001),-0.8369795449623162,3.841394290991384
Blade II (2002),2.1854380347923787,1.5477084637513858
Birthday Girl (2002),-1.462327038059528,0.8099426932280317
Just Visiting (2001),-1.369306707849944,0.8677842118136357
The Fighting Temptations (2003),-0.042297489107480025,3.817645247194831
Get Over It (2001),-0.88382991757798,2.5663244431258603
Head Over Heels (2001),-1.0533866159185965,3.849111803521915
Head Over Heels (2010),-2.412759317661721,-1.5316027796442981
The Order (2002),-1.6937474340348035,3.068286240872106
Orphan (2009),0.37688250160131037,1.4162341038104258
Zoolander (2001),1.1527230881905908,3.3532010741999
"Monsters, Inc. (2001)",7.980477975907625,0.8132398159836318
In the Cut (2003),-1.1491596548741567,-0.1778629352273968
Riding in Cars with Boys (2001),0.39305313944705966,3.4356879348437603
The Bank Job (2008),0.632125134352453,0.8835963526265762
Rock Star (2001),-0.25977874597698886,4.000236347323889
Moulin Rouge! (2001),2.53394838790168,-0.0068804163029893015
One Night at McCool's (2001),-1.1620941623806946,1.7294083432695102
Exorcist: The Beginning (2004),0.26370156002364536,1.8126827058042834
Save the Last Dance (2001),1.594417735589397,2.77078117281494
Joy Ride (2001),0.009904460030838846,2.4208114350261463
Joy Ride (2023),-0.46793487379842885,2.3665444035311487
Children of Men (2006),1.8564039636072027,1.1515556847131267
The Son's Room (2001),-1.5678527299368712,-0.8806915133452021
The Mummy Returns (2001),5.2120985539412885,0.6404028903801623
The Wedding Planner (2001),0.8932871906734785,2.706763648496876
The Forest (2016),-0.6935241752926511,1.940475720615048
Jason X (2001),-0.8720753238912217,3.791758338448676
Knockaround Guys (2002),-0.9523509629856279,4.3013714772837215
Amélie (2001),3.5531510123867807,-1.028135168240144
Awake (2007),-0.7158695652758448,1.261175003220963
2046 (2004),-1.0956757893724065,-1.5692459611134986
A.I. Artificial Intelligence (2001),3.2263788052249476,-0.22081036930739
Hannibal (2001),4.381565314491953,0.7201894013266477
Pearl Harbor (2001),5.64390001324955,-0.2089488299138629
Would I Lie to You? 2 (2003),-1.7806886017975456,-1.4235042651890033
Enemy at the Gates (2001),1.8750942106170747,1.3820072465951245
Gangs of New York (2002),3.5266703643604767,-0.08662189339051957
